"filename", "language", "C++", "comment", "blank", "total"
"/home/xein/Documents/CPPTEST/Elevator/include/elevator.hpp", "C++", 31, 7, 8, 46
"/home/xein/Documents/CPPTEST/Elevator/include/elevsystem.hpp", "C++", 14, 0, 6, 20
"/home/xein/Documents/CPPTEST/Elevator/include/person.hpp", "C++", 16, 4, 4, 24
"/home/xein/Documents/CPPTEST/Elevator/include/stimula.hpp", "C++", 6, 0, 3, 9
"Total", "-", 67, 11, 21, 99
